steer_id,consumer_id,question,type,response,options,created_at
310237,128275,What is your preferred way to eat Spinach,Steer::SingleAnswer,,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:18"
310237,109933,What is your preferred way to eat Spinach,Steer::SingleAnswer,,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:11"
310237,128862,What is your preferred way to eat Spinach,Steer::SingleAnswer,,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:56"
310237,149086,What is your preferred way to eat Spinach,Steer::SingleAnswer,,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:40"
310237,122813,What is your preferred way to eat Spinach,Steer::SingleAnswer,Other,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:05"
310237,141187,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:24"
310237,152741,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:22"
310237,41609,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:22"
310237,141651,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:21"
310237,7052,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:16"
310237,41686,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:16"
310237,167341,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:12"
310237,132083,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:09"
310237,10395,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:08"
310237,101673,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:08"
310237,152254,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:06"
310237,51215,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 10:02"
310237,134850,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:58"
310237,119435,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:57"
310237,34285,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:56"
310237,163271,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:52"
310237,125277,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:49"
310237,43492,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:47"
310237,159510,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:45"
310237,167120,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:44"
310237,40930,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:40"
310237,24780,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:37"
310237,143661,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:37"
310237,112392,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:35"
310237,28152,What is your preferred way to eat Spinach,Steer::SingleAnswer,Raw in salads/smoothies/sandwiches or wraps,"Raw in salads/smoothies/sandwiches or wraps,Sauteed/wilted in a pan,Boiled,Baked,Steamed,In a stir-fry,Mixed into other cooking foods, ie Pasta/Rice/Cream,I don't eat Spinach,Other","17/4/2025, 09:35"
